SuccubusNo,SuccubusName,HeartLevel/Ending,Choice,ChoiceNext,DlgS,DlgJ,args
,,,,,,What?!,
,,,,,Take one step closer and I’ll tear that arm off!,,
,,,,,,(What's with the sudden aggression?!),
,,I-2,,,,,
,,,,,Why are you here?!,,
,,,,,,"Well, I-",
,,,,,Enough! I will...,,
,,,,,...,,
,,,,,"Ugh... So, I've returned here yet again...",,
,,,,,,Um... yes?,
,,,,,I... What happened??,,
,,,,,I couldn't Seem to notice your presence...,,
,,,,,,I...,
,,,,,,(She doesn't seem to remember anything about yesterday...),
,,,1-2-A,II-1,Was that your other self?,,
,,,,,,I've been meaning to ask this...,
,,,,,,But you weren't yourself yet at the time so...,
,,,,,"It's fine, you don't have to hold back.",,
,,,,,,Was that a different self of yours?,
,,,,,"So, you've met her.",,
,,,,,,"Um, perhaps.",
,,,,,"Indeed, you have.",,
,,,,,,(She's neither denying nor confirming my question.),
,,,,,,(It will probably take time for her to talk about it.),
,,,,,What's wrong?,,
,,,,,,"No, nothing.",
,,,1-2-B,II-2,You felt different.,,
,,,,,,We were in town for the whole day.,
,,,,,We were?,,
,,,,,,"Yes, but you didn't seem to remember all of it.",
,,,,,,It's like you are missing fragments of your memories.,
,,,,,...,,
,,,,,,(She just nods),
,,,,,,I don't think you're in any condition to answer that right now.,
,,,,,Sorry...,,
,,,,,,"No, it's fine. Please take it easy.",
,,,,,Thank you. I apologize I couldn't answer right away.,,
,,I-3,,,,,
,,,,,,(This smell...),
,,,,,,Did you do something to this room?,
,,,,,"Um, I am not sure of what are you talking about.",,
,,,,,,It smells like roses.,
,,,,,I don't understand what do you mean.,,
,,,,,,"I mean, I don't think your room felt like this before.",
,,,,,,It feels different here.,
,,,,,"Oh no, did I do something I was not aware of?",,
,,,1-3-A,I-2,What do you mean?,,
,,,,,,I don't understand.,
,,,,,,What do you mean by something you weren't aware of?,
,,,,,Oh.,,
,,,,,Sorry. Forget I said anything.,,
,,,,,,You look pale. Are you feeling OK?,
,,,,,We are. It is none of your concern.,,
,,,,,,Ah! I'm sorry!,
,,,,,Your concern is trivial. We do not need your help.,,
,,,,,,I- I am just worried.,
,,,,,Then leave at once. You are not welcome at the moment.,,
,,,1-3-B,II-3,Flowers.,,
,,,,,,"I've seen other succubi, but you truly look different.",
,,,,,How so?,,
,,,,,,There are roses on you. It makes you look completely different from the others.,
,,,,,Is that... Do you mean a plant from this realm?,,
,,,,,,Indeed.,
,,,,,,The thorny yet beautiful features look just like yours.,
,,,,,Was that an insult to our being?,,
,,,,,,No! It was the opposite!,
,,,,,The way you put it made it seem as if there was something wrong with us.,,
,,,,,"Speak truthfully, and you will be forgiven.",,
,,,,,,I am honest! It's the other way around!,
,,,,,I will hold you to it.,,
,,,,,,(She has a dangerous side to her...),
,,II-1,,,,,
,,,,,,"Um, there is something that puzzles me.",
,,,,,,Are all of your kind like this?,
,,,,,I What do you mean?,,
,,,,,,I mean...,
,,,,,,There are two sides of you that are vastly different.,
,,,,,,"Is it just you alone, or is it a common trait?",
,,,,,...,,
,,,,,I did meet others that have these... circumstances.,,
,,,,,Maybe all of us have this condition.,,
,,,,,,I see...,
,,,2-1-A,II-2,All of them?,,
,,,,,,"So, it's natural for you?",
,,,,,Probably. We've already found ourselves with this condition a long time ago.,,
,,,,,,I see...,
,,,,,,May I know the reasons for this condition existing? This all seems very peculiar to me.,
,,,,,I... I am not sure if I could explain it properly to you...,,
,,,,,"But, well, it's best if you don't inquire into the matter any further.",,
,,,,,"You hear me? If she gets bothered about it, the headache afterwards will be MY problem.",,
,,,,,,I... I see. I will refrain for now.,
,,,,,,(I'm getting used to these sudden changes...),
,,,,,,(But it sure feels very weird coming from her.),
,,,2-1-B,II-4,I have concerns.,,
,,,,,,I can't help but think it's tough for you to live this way.,
,,,,,"I am fine with this. It feels confusing at times, but I'm used to it.",,
,,,,,,I see.,
,,,,,,I just want to tell you that it's fine to confide in me.,
,,,,,,Tell me if you need anything.,
,,,,,Thank you.,,
,,,,,But I'm not so sure...,,
,,,,,,About?,
,,,,,I am not sure if I can tell whenever she is going to appear.,,
,,,,,,I understand. It's fine.,
,,II-2,,,,,
,,,,,"Well, what do we have here? It's you.",,
,,,,,,Is it you?,
,,,,,"It is me, of course.",,
,,,,,,"I mean, the actual you.",
,,,,,"Can't you tell, mortal? It's still me.",,
,,,,,"Oh, you mean my other self? She's away.",,
,,,,,,Were you always like this?,
,,,,,Naturally. We've been together ever since we were born.,,
,,,,,Are you disappointed I am not as docile as her?,,
,,,2-2-A,II-3,Since the beginning?,,
,,,,,,"So, you two were born this way.",
,,,,,Certainly. Are you perplexed?,,
,,,,,,I think I am.,
,,,,,To think you could be dumbstruck by something so simple.,,
,,,,,You should look at your sorry self right now.,,
,,,,,,...,
,,,,,"But do not fret, this is how it's meant to be.",,
,,,,,Especially for the succubi that claim an abominable origin.,,
,,,,,,So there really is more to your condition than meets the eye.,
,,,,,Indeed. Let that sink in for today.,,
,,,2-2-B,III-3,What is your purpose?,,
,,,,,,You keep appearing at unexpected moments.,
,,,,,,Is there something that causes you to come out?,
,,,,,"If she's unable to explain it to you, then expect nothing different with me.",,
,,,,,"Well, it's not like she's actually willing to talk about it.",,
,,,,,,Because it's something that forces you to come out?,
,,,,,Perhaps.,,
,,,,,But I am not the one who you should ask about this.,,
,,,,,,I see.,
,,,,,My time is up.,,
,,,,,You should not bother her right now.,,
,,II-3,,,,,
,,,,,,You look very different from the other succubi.,
,,,,,Is that so...,,
,,,,,I have been thinking about that...,,
,,,,,It seems like it's the reason behind the discord between our kind and the others.,,
,,,,,,How so?,
,,,,,"Out of all succubi, only our Kind took forms resembling plants.",,
,,,,,"So, I understand why you say I look different from the others.",,
,,,2-3-A,II-4,Your relationship with the others.,,
,,,,,,I was actually meaning to ask something else.,
,,,,,,How is your relationship with the other succubi?,
,,,,,I don't know...,,
,,,,,,"Um, what do you mean by that?",
,,,,,We never interact much with the other kinds.,,
,,,,,"We isolated ourselves, so we never had to talk to anyone besides each other.",,
,,,,,,So is this discord merely a projection of yours?,
,,,,,Perhaps... I am sorry I disappoint you.,,
,,,,,,N- no! Don't feel bad!,
,,,,,,I am thankful you actually told me about it!,
,,,2-3-B,II-5,Your relationship with the Demon King.,,
,,,,,,"I had a different question for you, actually.",
,,,,,,"There is a definite ruler of your own realm, right?",
,,,,,"Indeed, there is.",,
,,,,,"If it is about how we fare with the Demon King, I do not have much opinion about him.",,
,,,,,"f Well, her, on the other hand...",,
,,,,,...,,
,,,,,,Are you trying to call her?,
,,,,,H- how did you know?,,
,,,,,,"Um, you don't have to force it.",
,,,,,,I am enjoying your company as is.,
,,II-4,,,,,
,,,,,,"Say, Vered.",
,,,,,"What is it, Jake?",,
,,,,,,"Now that you've lived here for quite some times, how are you finding it?",
,,,,,Hmm...,,
,,,,,I can say that this realm is acceptable. I feel quite comfortable in your world.,,
,,,,,,I'm glad that you feel comfortable.,
,,,,,Truly. The sunlight is a fresh sight to look at.,,
,,,,,Living here feels kinda peaceful.,,
,,,2-4-A,III-4,About her other side...,,
,,,,,,"So, why doesn't your other self show up as much as she used to?",
,,,,,I don't know...,,
,,,,,I really don't have an answer for that.,,
,,,,,,I see...,
,,,,,"I could never tell exactly when she would appear, but...",,
,,,,,She very rarely interrupts me anymore.,,
,,,,,,Are you ever worried about her showing up in the future?,
,,,,,She has been a part of me since we were born.,,
,,,,,There is no reason to worry about her. She will be fine.,,
,,,,,,"Alright, then.",
,,,2-4-B,III-1,Better to stay here?,,
,,,,,,"So, is it better to stay here than back in your home realm?",
,,,,,Seems so...,,
,,,,,"I suppose that, as time goes on, I feel more comfortable talking to others in this realm.",,
,,,,,I never expected I could converse this much all by myself.,,
,,,,,,That's good to hear.,
,,,,,It is all thanks to you.,,
,,,,,I could never have had this level of freedom without you accompanying me.,,
,,,,,,... You give me too much credit.,
,,,,,Even if it is my honest opinion?,,
,,,,,,I... Thank you.,
,,II-5,,,,,
,,,,,"Oh, that was surprising.",,
,,,,,,"Oh, it's you...",
,,,,,"She's sleeping, so I took over.",,
,,,,,Did she try to call me by herself?,,
,,,,,,"Apparently, yes.",
,,,,,That's rare.,,
,,,,,,Is it?,
,,,,,I just never expect her to do it.,,
,,,,,"You see, it is the first time she willingly let me take over her body.",,
,,,2-5-A,III-3,How did things go back in the Demon Realm?,,
,,,,,,How did it usually go back in your realm?,
,,,,,,"I mean, if you don't mind telling me.",
,,,,,I guess it's fine.,,
,,,,,I took over her consciousness whenever she was in danger.,,
,,,,,Which is precisely why it is surprising for her to take the initiative.,,
,,,,,,Danger? Were you protecting her back home?,
,,,,,"Always, I still am.",,
,,,,,,Even from the Demon King?,
,,,,,"I'd say it's even better to have him ruling, contrary to what you likely believe.",,
,,,,,"With him, all other succubi are too occupied to even bother us.",,
,,,,,,So that's how you see it.,
,,,,,"Now, please do not bother her sleep. You should rest as well.",,
,,,2-5-B,III-1,She was looking for you.,,
,,,,,,I think she was looking for you.,
,,,,,,She was eager to hear your opinion on what we talked about the other day.,
,,,,,That's huge.,,
,,,,,,Why?,
,,,,,She never used to seek me for idle talk.,,
,,,,,,So... is that a good thing?,
,,,,,Of course.,,
,,,,,That means she trusts you enough to let me talk to you.,,
,,,,,,Glad to know that.,
,,,,,Now shush. She is sleeping.,,
,,III-1,,,,,
,,,,,,Vered.,
,,,,,"Yes, Jake?",,
,,,,,,How are you feeling today?,
,,,,,Delightful. I've been going outside more lately.,,
,,,,,,Any problems?,
,,,,,"Truthfully, quite the opposite.",,
,,,,,I was walking around as myself for most of the time.,,
,,,3-1-A,III-2,Where were you going?,,
,,,,,,Nice. Have you gone anywhere nice lately?,
,,,,,Indeed I have. I'm especially fond of the Park.,,
,,,,,"I love how I can stay as myself for the whole day, uninterrupted.",,
,,,,,,That's good to hear.,
,,,,,It's a rare experience for me to have this much control over myself.,,
,,,,,"Again, I feel grateful to you for helping me feel this way.",,
,,,,,,It's nothing. Please do enjoy your time more often.,
,,,3-1-B,EB,Are you fine with it?,,
,,,,,,"Um, you didn't happen to experience anything weird?",
,,,,,What do you mean?,,
,,,,,,Did you stumble into anything peculiar along your walk?,
,,,,,,Any suddenly angry clients? Any fights randomly breaking out?,
,,,,,Um...,,
,,,,,,"I'm worried. If anything, anything bad were to happen to you...",
,,,,,I mean...,,
,,,,,,Especially if that aggressive side of yours were to emerge...,
,,,,,What... what do you mean by that?,,
,,III-2,,,,,
,,,,,,(The windows are open. It's rare for her to open them this early...),
,,,,,"Oh, it is you!",,
,,,,,,Anything good happened lately?,
,,,,,"Do you mean the windows? A change of pace, I'd say.",,
,,,,,,You sound very happy today.,
,,,,,"Do I? Dear, you have an eye for detail.",,
,,,3-2-A,EA,Let's go out together.,,
,,,,,,So that's how it is. I'm happy for you.,
,,,,,,Can I ask you something?,
,,,,,What is it?,,
,,,,,,I think we should spend more time together.,
,,,,,Why?,,
,,,,,,There are plenty of things outside that I can take you to See.,
,,,,,,"As long as you feel comfortable with it, I think that will be good for your well-being.",
,,,,,"Sure, I don't think it's a bad idea.",,
,,,,,But are you sure it's going to be OK?,,
,,,,,,"Rest assured, you are going to be fine.",
,,,3-2-B,EB,Will she be happy as well?,,
,,,,,,That's good to hear.,
,,,,,,Wish she could experience this as well.,
,,,,,Who?,,
,,,,,,"I mean, your other self.",
,,,,,What do you mean by that?,,
,,,,,,Your kind is interested to see this realm.,
,,,,,,I feel that it would be wasteful if your other self doesn't share in the experience.,
,,,,,...,,
,,III-3,,,,,
,,,,,,Hi there.,
,,,,,It's you!,,
,,,,,,Do you have any problems at work?,
,,,,,,Don't hesitate to tell me if you need any help.,
,,,,,"I can't remember much, but sometimes my other self took control.",,
,,,,,,Your other self?,
,,,,,Yes. I wish I could talk to her about it.,,
,,,,,"There are things that I feel like I'm capable of doing, but she won't let me.",,
,,,3-3-A,EB,She is right.,,
,,,,,,I think that she's right about that.,
,,,,,Even if I think I can solve my own problems?,,
,,,,,,It's for your own good.,
,,,,,,She does it to protect you from harm.,
,,,,,But then... I can never go anywhere without relying on her.,,
,,,,,,"I get how you feel, but I honestly think you still need to rely on her.",
,,,,,,She is just that dependable.,
,,,,,Is that so...,,
,,,3-3-B,III-4,Where to start?,,
,,,,,,Is there any way for you to talk to her directly?,
,,,,,I'm not sure about that.,,
,,,,,,I wish I could help you.,
,,,,,,I met her a few times when you were asleep.,
,,,,,Maybe we will find a way later on.,,
,,,,,I believe I can trust you to help us with that.,,
,,,,,,You're flattering me!,
,,,,,It's my honest opinion.,,
,,III-4,,,,,
,,,,,,"Oh, there you are.",
,,,,,You've done well to notice me quickly.,,
,,,,,"I've been delving into her mind yesterday, as I heard that wish of hers.",,
,,,,,,I figured you would.,
,,,,,"Because of her, I'm starting to think that this realm is not a bad place after all...",,
,,,,,...,,
,,,,,Jake? Did she take over my body?,,
,,,3-4-A,EA,She shares the same wish.,,
,,,,,,"Um, yeah. I listened to her talking about you.",
,,,,,"So, what did she say?",,
,,,,,,She said living in this realm isn't so bad...,
,,,,,,"Apparently, she shares the same beliefs as you.",
,,,,,...,,
,,,,,I... did not expect that.,,
,,,,,,"At the end of the day, she's still a part of you.",
,,,,,I guess so...,,
,,,3-4-B,EB,Come back!,,
,,,,,,"Wait, come back...!",
,,,,,W- what's wrong?,,
,,,,,,"Oh... she left right away, just like that.",
,,,,,,She left me hanging...,
,,,,,... You are acting rather odd.,,
,,,,,,Can't you just make her come back?,
,,,,,,(She just left without even finishing our talk.),
,,,,,I don't know how to do it...,,
,,EA,,,"Assured about Jake, Vered's other personality is ready to go once Vered becomes human.",,
,,,,,"She feels that Vered can live safely in the Human Realm, free from judgement.",,
,,,,,"More importantly, she knows that Vered trusts Jake with all her heart.",,
,,,,,"Thus, she leaves Vered in Jake's hands.",,
,,EB,,,"Jake finds Vered's peculiar nature fascinating, and thus he wants her for himself.",,
,,,,,"However, after all this time, he still relies too much on her other personality.",,
,,,,,Jake has failed them. That is what Vered's stronger personality believes.,,
,,,,,"One night, she makes sure Jake pays the price for trying to control her: his life.",,
17,Shyasta,I-1,,,Shyasta,,
,,,,,,"Hi Shyasta, how are you feeling?",
,,,,,(Zzz...),,
,,,,,,Hello...?,
,,,,,(Zzz..),,
,,,,,,Um... are you asleep?,
,,,,,... Mn... Who are you?,,
,,,,,,"Oh, sorry to interrupt your sleep.",
,,,,,It was a good sleep... and you ruined it.,,
,,,1-1-A,II-1,Trouble sleeping in your realm?,,
,,,,,,You look awfully tired.,
,,,,,,Do you have trouble sleeping?,
,,,,,It's... very noisy in the realm.,,
,,,,,With the new leader's ascension...,,
,,,,,Everybody is running around between here and there.,,
,,,,,,Even you?,
,,,,,"I honestly don't care. I would rather sleep... like, right now.",,
,,,,,,Going back to sleep so soon?,
,,,,,Goodnight!,,
,,,,,(Zzzz...),,
,,,1-1-B,I-2,Do you feel comfortable here?,,
,,,,,,Did you fall asleep the instant you came here?,
,,,,,"I just like to sleep, that's all.",,
,,,,,,Do you find it comfortable here?,
,,,,,It's quieter here.,,
,,,,,,"I see... Oh, I haven't introduced myself.",
,,,,,,"I'm Jake, it's nice to meet you.",
,,,,,"Nice to meet you, too.",,
,,,,,Goodnight.,,
,,,,,(Zzz...),,
,,,,,,(That was the simplest introduction I've ever had.) ,
,,I-2,,,,,
,,,,,(Zzz..),,
,,,,,,"Excuse me, Shyasta.",
,,,,,,"Oh, she's still sleeping.",
,,,,,,"She has a lot of work today, I shouldn't bother her.",
,,,,,"Mnn... What is it, Jake?",,
,,,,,,Nothing. You can go back to sleep if you're tired.,
,,,,,,We still have time before we go to town.,
,,,,,I feel okay to talk.,,
,,,1-2-A,II-3,Used to the new routine?,,
,,,,,,You seem to be enjoying your job.,
,,,,,It's normal for a succubus to suck Carnal Essence out of men.,,
,,,,,I don't even think of it as a job.,,
,,,,,,That makes sense to me.,
,,,,,Just like how you humans need to eat to live...,,
,,,,,We need Carnal Essence for the same purpose.,,
,,,,,... Alright I'm sleepy again. Let me rest for a bit.,,
,,,,,,"Okay, I understand.",
,,,,,(Zzz...),,
,,,,,,(Off she goes...),
,,,1-2-B,II-1,About the Demon Realm.,,
,,,,,,"If I may ask, what happened in the Demon Realm?",
,,,,,,You seem to be happier here.,
,,,,,The ascension of the new Master...,,
,,,,,"Some disagree with it, so they are fighting over it.",,
,,,,,,They?,
,,,,,The succubi.,,
,,,,,,"Huh, so not all of you are on good terms with each other?",
,,,,,I'm quite chill.,,
,,,,,The Ascension doesn't concern me at all.,,
,,,,,What does concern me is that they are fighting too much and it's disturbing my sleep.,,
,,,,,,Is that so?,
,,,,,Talking about naps makes me want to take one. Night!,,
,,,,,(Zzz...),,
,,,,,,(She can practically sleep on command...),
,,I-3,,,,,
,,,,,,...,
,,,,,Why are you looking at me like that? I can't sleep...,,
,,,,,,You look just like a child...,
,,,,,I look like a what?,,
,,,,,,"Oh, sorry! It just slipped out-",
,,,,,"I'm older than you, you know!",,
,,,,,Even older than your great-grandparents.,,
,,,1-3-A,I-2,Being an adult succubus.,,
,,,,,,It still baffles me how you're actually way older than me.,
,,,,,"Yes, so don't treat me like a kid.",,
,,,,,I'm an adult succubus.,,
,,,,,,"Then, as an adult, you should be able to communicate with others...",
,,,,,,"... Without using me as a mediator, right?",
,,,,,No way.,,
,,,,,,Why not?,
,,,,,It's such a hassle. I prefer to sleep.,,
,,,,,,How about with me?,
,,,,,What do you mean?,,
,,,,,,"You can talk to me more often, for starters.",
,,,,,"Tch, if you insist.",,
,,,1-3-B,II-3,"She's a succubus, despite her appearance.",,
,,,,,,"Because of your appearance, sometimes I forget that you're a succubus...",
,,,,,My appearance has nothing to do with anything.,,
,,,,,You're insulting me.,,
,,,,,,"I didn't mean to, I was just saying-",
,,,,,"I find that insulting, so don't say it again.",,
,,,,,,A- all right. I'm sorry.,
,,,,,You have anything else to say?,,
,,,,,,Nothing...,
,,,,,Goodnight then.,,
,,,,,(Zzz...),,
,,,,,,(At least she calmed down.),
,,II-1,,,,,
,,,,,...,,
,,,,,,This is rare. You're already awake.,
,,,,,I had a feeling you would come around this time.,,
,,,,,,You were expecting me?,
,,,,,Don't take this the wrong way.,,
,,,,,"I just hate having my sleep interrupted, so I took preemptive action.",,
,,,,,,"Oh, yeah. You did say that it was noisy in your realm.",
,,,,,The Rebellion is responsible for that.,,
,,,,,,Rebellion?,
,,,,,"Those who oppose the new Master, Asmodeus.",,
,,,,,We used to have a queen as our leader.,,
,,,,,"However, she suddenly disappeared, and Lord Asmodeus took the throne.",,
,,,,,,"Well, if a stranger suddenly did that...",
,,,,,He claimed to be the queen's son.,,
,,,,,,Oh. So he actually had the right.,
,,,2-1-A,III-2,About the new ruler...,,
,,,,,,"How do you feel about the new ruler, though?",
,,,,,"To be honest, I don't really like him...",,
,,,,,"However, the Rebellion was a pain.",,
,,,,,,"So, you preferred to escape that chaos?",
,,,,,"No, I preferred to sleep.",,
,,,,,,That's just escaping reality.,
,,,,,"I'm more inclined to call it ""preserving my energy.”",,
,,,,,,I haven't fi-,
,,,,,(Zzz...),,
,,,,,,...,
,,,2-1-B,II-2,About your kind...,,
,,,,,,Did your kind also join the Rebellion?,
,,,,,Nah...,,
,,,,,,Let me guess: too much Work?,
,,,,,And too much energy.,,
,,,,,,"So, you preferred to just sleep?",
,,,,,Yes. I don't need to think while I sleep.,,
,,,,,"It saves my energy, you know.",,
,,II-2,,,,,
,,,,,Mnn... Jake?,,
,,,,,"Go away, I still want to sleep.",,
,,,,,,Do you have to be so rude?,
,,,,,You have a problem with that?,,
,,,,,,Doesn't it bother your friends?,
,,,,,"Friends, huh.",,
,,,,,I don't know if I would call them friends...,,
,,,,,,Who are you talking about?,
,,,,,The Nocti... Those clingy succubi.,,
,,,2-2-A,III-1,You're close with them?,,
,,,,,,"Oh, are you close with them?",
,,,,,They treat us like their pillows and only come when they want to sleep.,,
,,,,,,"Isn't it fun, having a friend to cuddle with?",
,,,,,But I prefer to sleep with my real pillow.,,
,,,,,,"Why don't you also use them as your pillow, then?",
,,,,,"Huh, I never thought of it like that...",,
,,,,,,Glad to help.,
,,,2-2-B,III-3,Are you bothered by them?,,
,,,,,,"Does it bother you? Their clinginess, I mean.",
,,,,,It's kind of cramped Whenever they try to sleep with me.,,
,,,,,"So, yeah. I guess.",,
,,,,,,Have you tried to talk to them about this?,
,,,,,"They won't listen, and before I know it I'm already their pillow.",,
,,,,,,That sounds rough...,
,,,,,It is.,,
,,II-3,,,,,
,,,,,,"How are you doing, Shyasta?",
,,,,,Dead tired.,,
,,,,,,I thought you were used to this kind of thing?,
,,,,,"But not every day, duh.",,
,,,,,"Now, dealing with a customer for more than five minutes already makes me exhausted.",,
,,,2-3-A,II-4,How about classes?,,
,,,,,,How's everything else outside of work? Do you enjoy the classes?,
,,,,,"Not really, they don't seem too useful to me.",,
,,,,,,I see. Have you tried visiting other places?,
,,,,,"Nope, too tiring.",,
,,,,,,How about we go somewhere together?,
,,,,,,"I could buy you something nice too, like a new pillow?",
,,,,,"A new pillow, eh?",,
,,,,,"Not a bad idea, actually.",,
,,,2-3-B,III-1,Do you still like it better here?,,
,,,,,,Do you still like it better here?,
,,,,,"This place is quiet and cozy, I can sleep well here, at least.",,
,,,,,"So, yes. Here is still better.",,
,,,,,,Glad to hear that you're comfortable.,
,,,,,"Yes, now I need my sleep. Goodnight, Jake.",,
,,,,,,"Okay, goodnight.",
,,II-4,,,,,
,,,,,,"Shyasta, I've got something to talk about.",
,,,,,What is it?,,
,,,,,,I heard from Madam M that you often fall asleep during I class.,
,,,,,,Can you do something about it...?,
,,,,,"I can't, I'm too tired from working.",,
,,,,,"So, I treat the class as my break time.",,
,,,,,,Hmm... Can you at least apologize to Madam M? She's quite vexed.,
,,,,,Why should I apologize?,,
,,,2-4-A,III-3,Maybe it's a misunderstanding?,,
,,,,,,"Maybe you can just tell her that you're tired, and she would understand.",
,,,,,Why is sleeping so bad? I already know what she's teaching us anyway.,,
,,,,,,But you're not showing any respect to her.,
,,,,,,Just explain that you're tired from working...,
,,,,,"Okay, fine. I'll talk to her if I'm up for it.",,
,,,,,,(I hope she really takes my advice to heart.),
,,,2-4-B,II-5,Things to make you stay awake.,,
,,,,,,How about we think of a way to make you stay awake?,
,,,,,Like what?,,
,,,,,,"Drink coffee, maybe?",
,,,,,Yuck. I'd rather eat dirt.,,
,,,,,The only thing that keeps me awake is when we talk like this.,,
,,,,,,"Come to think of it, you're right.",
,,,,,,How about you try to talk to the others?,
,,,,,Ugh... I’ll try.,,
,,II-5,,,,,
,,,,,,"Hey, Shyasta...",
,,,,,(Zzz...),,
,,,,,,As soundly as ever...,
,,,,,,"Hmm, she always brings her doll everywhere, doesn't she?",
,,,,,"Hey, don't touch Mr. Belphy.",,
,,,,,,S- sorry! I thought you were asleep.,
,,,,,"I was, until you touched Mr. Belphy.",,
,,,,,,Mr. Belphy? Your doll?,
,,,,,Not just an ordinary doll.,,
,,,,,,I wonder...,
,,,,,,Is it your doll that makes you always sleepy?,
,,,,,Maybe. But it proves that Mr. Belphy is not an ordinary doll.,,
,,,2-5-A,III-2,What makes it so special?,,
,,,,,,How does hugging it feel?,
,,,,,It feels like bliss. His softness makes me forget about my problems.,,
,,,,,,Have you ever try leave him at home?,
,,,,,No.,,
,,,,,Mr. Belphy has to be with me wherever and whenever.,,
,,,,,,No wonder you can just sleep anywhere.,
,,,,,When I'm not bothered? Yes.,,
,,,2-5-B,III-1,Dolls in the Human Realm.,,
,,,,,,What about the plushies in the Human Realm?,
,,,,,,Have you tried them?,
,,,,,"Nope, never had one.",,
,,,,,But I think it would be lovely to be surrounded by those.,,
,,,,,,You really do love plushies.,
,,,,,Soft and adorable things are my favorite.,,
,,,,,,How about this:,
,,,,,,If you can try not to fall asleep during the day...,
,,,,,,I will buy some plushies for you.,
,,,,,That's a hard deal...,,
,,,,,"Fine, I'll try.",,
,,III-1,,,,,
,,,,,,"Good morning, Shyasta. It's nice to see that you're already up.",
,,,,,"Thanks, I knew you would come.",,
,,,,,,How are you feeling?,
,,,,,"Same as usual... Well, better I suppose.",,
,,,,,,Oh?,
,,,,,"In fact, I wish I could just stay here forever.",,
,,,,,So much better than my realm...,,
,,,3-1-A,EB,I have no problem with that.,,
,,,,,,"If it's your choice, then why not.",
,,,,,You don't mind?,,
,,,,,,Of course not! Feel free to stay here as long as you like.,
,,,,,I knew you would understand.,,
,,,,,All succubi could learn a thing or two from you.,,
,,,,,,Hahaha! I see you've already become a charmer.,
,,,,,I'm just stating facts.,,
,,,,,,"Now, do you want to go back to sleep before we start the day?",
,,,,,"Yes, please. Night!",,
,,,,,(Zzz...),,
,,,3-1-B,III-4,Aren't you just running away?,,
,,,,,,That means you're just running away from the problem.,
,,,,,I'm just coping.,,
,,,,,,But things won't get better until you face reality.,
,,,,,,"Sometimes, you have to ""wake up.""",
,,,,,...,,
,,,,,"Then, what should I do?",,
,,,,,,"Face your problems, communicate with others...",
,,,,,Sounds hard...,,
,,,,,,"As long as you have the will, you can overcome anything.",
,,,,,,I'll support you.,
,,III-2,,,,,
,,,,,,"Shyasta, come here for a second, will you?",
,,,,,I think I know what you want to talk about.,,
,,,,,It must be about Madam M.,,
,,,,,,"Yes, I heard you're still sleeping during her class.",
,,,,,,"Honestly, I don't know what to do with you anymore.",
,,,,,Rather than worrying about me...,,
,,,,,Why don't you just ignore her like I did?,,
,,,3-2-A,III-4,There are these things called consequences.,,
,,,,,,You still have to think of the consequences of your actions.,
,,,,,,Ignoring her will lead to another problem in the future. Maybe even bigger problems.,
,,,,,,"Not just for me, but also for you.",
,,,,,"I don't see how this is going to affect me. Plus, it's really hard to stay awake.",,
,,,,,,How about you don't bring your doll to class?,
,,,,,But...,,
,,,,,,Pretty please?,
,,,,,"Fine, I'll try to find a way to stay awake.",,
,,,,,,Thank you.,
,,,3-2-B,III-3,I don't want to risk my job.,,
,,,,,,"I can't. Dealing with her is part of my job, too.",
,,,,,Hmph...,,
,,,,,,"I know it's hard, but if you could communicate with her...",
,,,,,,"This time, make sure you talk to her.",
,,,,,About what?,,
,,,,,,Talk to her so we won't have to have this conversation anymore.,
,,,,,,"Be honest, it's kind of a bother for you too, right?",
,,,,,"When you put it that way, then... Fine, I'll go have a talk with her.",,
,,,,,,Thank you. You're the best.,
,,III-3,,,,,
,,,,,(Zzz...),,
,,,,,,"Shyasta, wake up. We're about to go.",
,,,,,I don't want to.,,
,,,,,"I had a lot of problems yesterday, so I want to rest up today.",,
,,,,,,Problems?,
,,,,,I don't want to talk about them.,,
,,,,,,"So, you'd rather sleep?",
,,,,,"Yes, at least I don't have to think about anything.",,
,,,3-3-A,EB,Maybe you're right.,,
,,,,,,"Is this what you always do, whenever you face a problem?",
,,,,,Duh.,,
,,,,,I just ignore it and go somewhere to sleep.,,
,,,,,No need to sweat every little thing.,,
,,,,,,"... Preserving energy, huh?",
,,,,,"Yes, finally you get it!",,
,,,,,,...,
,,,3-3-B,EA,The importance of communication.,,
,,,,,,You might want to start talking about your problems with the others.,
,,,,,,"That way, they could understand things from your perspective.",
,,,,,,"That would make things easier for you, too.",
,,,,,"I don't know about that, but if you say so...",,
,,,,,,"I can't help you every time, you know. You have to start helping yourself here.",
,,,,,Well...,,
,,,,,"I hate to say this, but maybe you're right.",,
,,,,,I'll try following your suggestion.,,
,,,,,,"That's great! Good luck, Shyasta.",
,,III-4,,,,,
,,,,,,Shyasta.,
,,,,,I don't want to talk about it.,,
,,,,,,"Well, Madam M finally gave up and told me to teach you myself.",
,,,,,Why can't she just let me sleep?,,
,,,,,It'll be easier that way for the both of us.,,
,,,,,,... Have you tried talking to her?,
,,,,,"Yes, but she won't listen...",,
,,,3-4-A,EA,Make an agreement with her.,,
,,,,,,Have you really tried to communicate properly with her?,
,,,,,What do you mean by communicate properly?,,
